,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
882,94030,16,115,0.012820697,-1,
883,85841,4,6,0.282164708,-1,
884,71513,5,10,0.439456321,-1,
885,94043,7,19,0.260426949,-1,
886,75610,4,6,0.282164708,-1,
887,120671,7,21,0.665156882,-1,
888,75619,8,28,0.741248349,-1,
889,118629,2,1,0.054004865,-1,
890,135012,2,1,0.054004865,-1,
891,135013,2,1,0.054004865,-1,
892,120687,3,3,0.102138795,-1,
893,128879,3,3,0.102138795,-1,
894,120686,3,3,0.102138795,-1,
895,124782,2,1,0.054004865,-1,
896,83829,5,10,0.439456321,-1,
897,128884,11,48,0.478703917,-0.967229769,
898,137077,7,21,0.665156882,-1,
899,112509,49,1171,2.789462775,-1,
900,118653,50,1211,2.875319225,-1,
901,118652,50,1211,2.875319225,-1,
902,128895,5,10,0.439456321,-1,
903,128897,5,10,0.439456321,-1,
904,114560,2,1,0.054004865,-1,
905,128896,5,10,0.439456321,-1,
906,124803,4,6,0.282164708,-1,
907,124802,4,6,0.282164708,-1,
908,124804,4,6,0.282164708,-1,
909,137095,2,1,0.054004865,-1,
910,118663,2,1,0.054004865,-1,
911,73606,2,1,0.054004865,-1,
912,71565,2,1,0.054004865,-1,
913,130963,8,25,0.168224761,-1,
914,130962,8,25,0.168224761,-1,
915,83860,11,52,0.513921814,-1.823267156,
916,126871,10,45,0.839499175,-1,
917,130968,8,25,0.168224761,-1,
918,79771,7,21,0.665156882,-1,
919,130971,6,15,0.56610178,-1,
920,128923,5,10,0.439456321,-1,
921,128922,5,10,0.439456321,-1,
922,77729,2,1,0.054004865,-1,
923,124839,2,1,0.054004865,-1,
924,130982,2,1,0.054004865,-1,
925,71594,3,2,0.33814894,-352182519.1,
926,118702,2,1,0.054004865,-1,
927,124850,3,3,0.102138795,-1,
928,130994,2,1,0.054004865,-1,
929,85941,13,78,0.884117727,-1,
930,102329,6,15,0.56610178,-1,
931,106424,2,1,0.054004865,-1,
932,112575,2,1,0.054004865,-1,
933,83909,4,6,0.282164708,-1,
934,81877,4,5,0.096707935,-475087477.3,
935,116695,20,190,0.297046928,-1,
936,104408,4,6,0.282164708,-1,
937,118752,3,3,0.102138795,-1,
938,126944,5,10,0.439456321,-1,
939,71655,3,3,0.102138795,-1,
940,106471,3,3,0.102138795,-1,
941,126951,10,38,0.55639921,-3.153262531,
942,118758,3,3,0.102138795,-1,
943,79850,7,21,0.665156882,-1,
944,126954,2,1,0.054004865,-1,
945,124912,2,1,0.054004865,-1,
946,86015,3,3,0.102138795,-1,
