InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
131614,3,3,0.106617911,-1.0,1.106617911
131620,3,3,0.106617911,-1.0,1.106617911
131626,2,1,0.027784397,-1.0,1.027784397
131624,3,3,0.106617911,-1.0,1.106617911
82476,2,1,0.027784397,-1.0,1.027784397
131628,2,1,0.027784397,-1.0,1.027784397
98866,2,1,0.027784397,-1.0,1.027784397
131639,2,1,0.027784397,-1.0,1.027784397
131642,10,45,0.356027644,-1.0,1.356027644
131643,10,45,0.356027644,-1.0,1.356027644
131640,10,45,0.356027644,-1.0,1.356027644
131641,10,45,0.356027644,-1.0,1.356027644
131646,10,45,0.356027644,-1.0,1.356027644
131647,10,45,0.356027644,-1.0,1.356027644
131644,10,45,0.356027644,-1.0,1.356027644
131645,11,55,0.608551102,-1.0,1.6085511019999998
131648,10,45,0.356027644,-1.0,1.356027644
98882,16,120,1.511306442,-1.0,2.511306442
131654,5,10,0.305969234,-1.0,1.305969234
98886,15,105,1.358364791,-1.0,2.358364791
131653,5,10,0.305969234,-1.0,1.305969234
131659,5,10,0.305969234,-1.0,1.305969234
131656,5,10,0.305969234,-1.0,1.305969234
98891,5,9,0.042353307,-1.0,1.042353307
131662,4,6,0.228897041,-1.0,1.228897041
131663,7,12,1.595245106,-1.555513231,3.150758337
131666,5,10,0.305969234,-1.0,1.305969234
131667,5,10,0.305969234,-1.0,1.305969234
131664,5,10,0.305969234,-1.0,1.305969234
131665,3,3,0.106617911,-1.0,1.106617911
131671,2,1,0.027784397,-1.0,1.027784397
131674,7,21,0.308660199,-1.0,1.308660199
131675,7,21,0.308660199,-1.0,1.308660199
115291,16,120,1.511306442,-1.0,2.511306442
131673,7,21,0.308660199,-1.0,1.308660199
131679,2,1,0.027784397,-1.0,1.027784397
131676,7,21,0.308660199,-1.0,1.308660199
131677,7,21,0.308660199,-1.0,1.308660199
131682,5,10,0.305969234,-1.0,1.305969234
131684,3,3,0.106617911,-1.0,1.106617911
98918,2,1,0.027784397,-1.0,1.027784397
131685,5,10,0.305969234,-1.0,1.305969234
82536,2,1,0.027784397,-1.0,1.027784397
131691,6,11,0.757594242,-1.017412378,1.77500662
82539,3,3,0.106617911,-1.0,1.106617911
131689,4,6,0.228897041,-1.0,1.228897041
115309,5,10,0.305969234,-1.0,1.305969234
131702,2,1,0.027784397,-1.0,1.027784397
131701,2,1,0.027784397,-1.0,1.027784397
82554,2,1,0.027784397,-1.0,1.027784397
131712,2,1,0.027784397,-1.0,1.027784397
131713,2,1,0.027784397,-1.0,1.027784397
131726,2,1,0.027784397,-1.0,1.027784397
82575,26,325,2.728663302,-3.301393761E8,3.3013937882866335E8
131724,2,1,0.027784397,-1.0,1.027784397
115344,2,1,0.027784397,-1.0,1.027784397
131728,3,3,0.106617911,-1.0,1.106617911
98962,11,55,0.608551102,-1.0,1.6085511019999998
131736,9,36,0.043502616,-1.0,1.043502616
131742,4,6,0.228897041,-1.0,1.228897041
115356,2,1,0.027784397,-1.0,1.027784397
115359,7,21,0.308660199,-1.0,1.308660199
131740,3,3,0.106617911,-1.0,1.106617911
131741,3,3,0.106617911,-1.0,1.106617911
131746,4,6,0.228897041,-1.0,1.228897041
131744,4,6,0.228897041,-1.0,1.228897041
131745,4,6,0.228897041,-1.0,1.228897041
131750,4,6,0.228897041,-1.0,1.228897041
131754,2,1,0.027784397,-1.0,1.027784397
115369,5,8,0.366866186,-1.0,1.366866186
131752,3,3,0.106617911,-1.0,1.106617911
131753,2,1,0.027784397,-1.0,1.027784397
131758,3,3,0.106617911,-1.0,1.106617911
131759,3,3,0.106617911,-1.0,1.106617911
131756,4,6,0.228897041,-1.0,1.228897041
98991,5,10,0.305969234,-1.0,1.305969234
131757,3,3,0.106617911,-1.0,1.106617911
131761,2,1,0.027784397,-1.0,1.027784397
99015,3,3,0.106617911,-1.0,1.106617911
82633,2,1,0.027784397,-1.0,1.027784397
115400,2,1,0.027784397,-1.0,1.027784397
82632,3,3,0.106617911,-1.0,1.106617911
115406,2,1,0.027784397,-1.0,1.027784397
131798,2,1,0.027784397,-1.0,1.027784397
131803,3,3,0.106617911,-1.0,1.106617911
131801,6,15,0.3339168,-1.0,1.3339168
82650,7,20,0.012970104,-1.0,1.012970104
131807,9,36,0.043502616,-1.0,1.043502616
99036,5,10,0.305969234,-1.0,1.305969234
131810,9,36,0.043502616,-1.0,1.043502616
99040,4,6,0.228897041,-1.0,1.228897041
131811,9,36,0.043502616,-1.0,1.043502616
131809,9,36,0.043502616,-1.0,1.043502616
131813,9,36,0.043502616,-1.0,1.043502616
115433,4,6,0.228897041,-1.0,1.228897041
131818,3,3,0.106617911,-1.0,1.106617911
115435,4,6,0.228897041,-1.0,1.228897041
115436,4,6,0.228897041,-1.0,1.228897041
82672,5,10,0.305969234,-1.0,1.305969234
115443,2,1,0.027784397,-1.0,1.027784397
131825,2,1,0.027784397,-1.0,1.027784397
131830,3,3,0.106617911,-1.0,1.106617911
131831,3,3,0.106617911,-1.0,1.106617911
131834,3,3,0.106617911,-1.0,1.106617911
82682,3,3,0.106617911,-1.0,1.106617911
99070,4,6,0.228897041,-1.0,1.228897041
131843,9,36,0.043502616,-1.0,1.043502616
131844,9,36,0.043502616,-1.0,1.043502616
82694,3,3,0.106617911,-1.0,1.106617911
115467,2,1,0.027784397,-1.0,1.027784397
115466,2,1,0.027784397,-1.0,1.027784397
115469,2,1,0.027784397,-1.0,1.027784397
99084,5,10,0.305969234,-1.0,1.305969234
131852,2,1,0.027784397,-1.0,1.027784397
131858,3,3,0.106617911,-1.0,1.106617911
99088,2,1,0.027784397,-1.0,1.027784397
99091,7,21,0.308660199,-1.0,1.308660199
131856,2,1,0.027784397,-1.0,1.027784397
131857,3,3,0.106617911,-1.0,1.106617911
131862,2,1,0.027784397,-1.0,1.027784397
82708,4,6,0.228897041,-1.0,1.228897041
131863,4,6,0.228897041,-1.0,1.228897041
82711,2,1,0.027784397,-1.0,1.027784397
82712,5,10,0.305969234,-1.0,1.305969234
131865,4,6,0.228897041,-1.0,1.228897041
99104,3,3,0.106617911,-1.0,1.106617911
99106,3,3,0.106617911,-1.0,1.106617911
131876,2,1,0.027784397,-1.0,1.027784397
99111,6,15,0.3339168,-1.0,1.3339168
